Sample1	Sample2	Genome	Coverage	Resolution	Score
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	10000000	40000	0.423740315029
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	10000000	200000	0.857950296423
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	10000000	1000000	0.965590150701
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	20000000	40000	0.674552929894
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	20000000	200000	0.934236507929
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	20000000	1000000	0.983223069348
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	40000000	40000	0.84040859595
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	40000000	200000	0.968390944208
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	40000000	1000000	0.991255733292
GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep2	hg38	0	40000	0.875888081879
