Sample	Genome	Coverage	Resolution	Score
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	1000000	40000	0.000353239456612
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	1000000	200000	0.00251581870521
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	1000000	1000000	0.0228864641026
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	2000000	40000	0.000936764254137
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	2000000	200000	0.00693643674422
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	2000000	1000000	0.0443797465545
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	5000000	40000	0.00360775856078
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	5000000	200000	0.0218212780713
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	5000000	1000000	0.0805059207404
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	10000000	40000	0.00949313189996
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	10000000	200000	0.0432808411409
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	10000000	1000000	0.107039512501
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	20000000	40000	0.0220149199215
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	20000000	200000	0.071794848011
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	20000000	1000000	0.127745895844
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	0	40000	0.00213787643966
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	0	200000	0.0157701606238
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	0	1000000	0.0585547831894
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	1000000	40000	8.93714367548e-05
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	1000000	200000	0.00113616944734
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	1000000	1000000	0.0191475249995
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	2000000	40000	0.000255066581763
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	2000000	200000	0.00311615959746
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	2000000	1000000	0.0333350783813
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	5000000	40000	0.00120174615581
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	5000000	200000	0.0106055521979
Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	5000000	1000000	0.0522210908014
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	0	40000	0.00941903767908
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	0	200000	0.041510369836
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	0	1000000	0.0869990276527
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	1000000	40000	0.000140131889308
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	1000000	200000	0.00152506446848
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	1000000	1000000	0.0198846438001
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	2000000	40000	0.000418753558616
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	2000000	200000	0.00435346418695
Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	2000000	1000000	0.0362548793321
